Epoch, Ratio of 1s (if random), Location of ASM (if needed), K (if needed), Accuracy, Loss
317, , maxpool, 10, 0.5311433672904968, 0.02083222526713646 
318, , maxpool, 10, 0.525170624256134, 0.02147407683864897 
319, , maxpool, 10, 0.5332764387130737, 0.02116804287066435 
320, , maxpool, 10, 0.5558874011039734, 0.01983873592848562 
321, , maxpool, 10, 0.5452218651771545, 0.020686545892405633 
322, , maxpool, 10, 0.546928346157074, 0.020794689537696667 
323, , maxpool, 10, 0.552901029586792, 0.020496287144745984 
324, , maxpool, 10, 0.5345563292503357, 0.02152136047354839 
325, , maxpool, 10, 0.5533276200294495, 0.02043760843962787 
326, , maxpool, 10, 0.5422354936599731, 0.02116486762806061 
327, , maxpool, 10, 0.5439419746398926, 0.021218397527449976 
328, , maxpool, 10, 0.5405290126800537, 0.02121353254942764 
329, , maxpool, 10, 0.545648455619812, 0.020825945540194624 
330, , maxpool, 10, 0.545648455619812, 0.020897809908734858 
331, , layer1.1.conv2, 10, 0.30631399154663086, 0.02977717665275209 
332, , layer1.1.conv2, 10, 0.38267919421195984, 0.02679023172057936 
333, , layer1.1.conv2, 10, 0.40315699577331543, 0.024789731936853493 
334, , layer1.1.conv2, 10, 0.4163822531700134, 0.02445959317602802 
335, , layer1.1.conv2, 10, 0.4257679283618927, 0.02381857530350571 
336, , layer1.1.conv2, 10, 0.4351535737514496, 0.02365105637307867 
337, , layer1.1.conv2, 10, 0.45989760756492615, 0.02284357655450142 
338, , layer1.1.conv2, 10, 0.4697099030017853, 0.02256215485162499 
339, , layer1.1.conv2, 10, 0.47312286496162415, 0.02259348283931867 
340, , layer1.1.conv2, 10, 0.4859215021133423, 0.02201456971364827 
341, , layer1.1.conv2, 10, 0.49274742603302, 0.021695866360751843 
342, , layer1.1.conv2, 10, 0.48421502113342285, 0.02235175892011399 
343, , layer1.1.conv2, 10, 0.5076791644096375, 0.02182768164170785 
344, , layer1.1.conv2, 10, 0.5183447003364563, 0.021052978799357348 
345, , layer1.1.conv2, 10, 0.501279890537262, 0.02219026507460115 
346, , layer1.1.conv2, 10, 0.5162116289138794, 0.021441141531227392 
347, , layer1.1.conv2, 10, 0.5196245908737183, 0.021605760580621684 
348, , layer1.1.conv2, 10, 0.51450514793396, 0.022033094587408437 
349, , layer1.1.conv2, 10, 0.5230375528335571, 0.021763977143315936 
350, , layer1.1.conv2, 10, 0.5430887341499329, 0.020554046836322486 
351, , layer1.1.conv2, 10, 0.5371160507202148, 0.021384645539491657 
352, , layer1.1.conv2, 10, 0.5371160507202148, 0.021367009068003286 
353, , layer1.1.conv2, 10, 0.5362628102302551, 0.021379213061806693 
354, , layer1.1.conv2, 10, 0.5277303457260132, 0.022333220354640543 
355, , layer1.1.conv2, 10, 0.5371160507202148, 0.02120558622550639 
356, , layer1.1.conv2, 10, 0.5311433672904968, 0.022017600729985244 
357, , layer1.1.conv2, 10, 0.532423198223114, 0.022049443675491182 
358, , layer1.1.conv2, 10, 0.5319966077804565, 0.02197718234898033 
359, , layer1.1.conv2, 10, 0.532423198223114, 0.021649229535737644 
360, , layer1.1.conv2, 10, 0.5328498482704163, 0.021695636003039802 
361, , layer2.1.conv2, 10, 0.3302047848701477, 0.02874898452807612 
362, , layer2.1.conv2, 10, 0.4185153543949127, 0.025183318265469 
363, , layer2.1.conv2, 10, 0.46800342202186584, 0.02238700589730878 
364, , layer2.1.conv2, 10, 0.4803754389286041, 0.021740334636115376 
365, , layer2.1.conv2, 10, 0.5029863715171814, 0.02094498481410762 
366, , layer2.1.conv2, 10, 0.5093856453895569, 0.020746738328868617 
367, , layer2.1.conv2, 10, 0.5319966077804565, 0.019881291486602594 
368, , layer2.1.conv2, 10, 0.5405290126800537, 0.019679799110155057 
369, , layer2.1.conv2, 10, 0.5477815866470337, 0.0196212708454185 
370, , layer2.1.conv2, 10, 0.5575938820838928, 0.019211908134889277 
371, , layer2.1.conv2, 10, 0.5712457299232483, 0.0188282373529754 
372, , layer2.1.conv2, 10, 0.5614334344863892, 0.019266630942478723 
373, , layer2.1.conv2, 10, 0.5802047848701477, 0.018766261850175395 
374, , layer2.1.conv2, 10, 0.5870307087898254, 0.01833277071091909 
375, , layer2.1.conv2, 10, 0.5678327679634094, 0.01938215570060263 
376, , layer2.1.conv2, 10, 0.5844709873199463, 0.018707608912178274 
377, , layer2.1.conv2, 10, 0.5895904302597046, 0.018646606822647536 
378, , layer2.1.conv2, 10, 0.5878839492797852, 0.019051099068933378 
379, , layer2.1.conv2, 10, 0.5947098731994629, 0.018888528802060225 
380, , layer2.1.conv2, 10, 0.6147611141204834, 0.017668396224976603 
381, , layer2.1.conv2, 10, 0.6028156876564026, 0.018453007207948194 
382, , layer2.1.conv2, 10, 0.6053754091262817, 0.018451018821537088 
383, , layer2.1.conv2, 10, 0.6151877045631409, 0.018096253876622018 
384, , layer2.1.conv2, 10, 0.5976962447166443, 0.01901679058835775 
385, , layer2.1.conv2, 10, 0.6160409450531006, 0.018082493830332374 
386, , layer2.1.conv2, 10, 0.604522168636322, 0.018728171300410004 
387, , layer2.1.conv2, 10, 0.6070818901062012, 0.018700625153048656 
388, , layer2.1.conv2, 10, 0.6011092066764832, 0.0187926747241779 
389, , layer2.1.conv2, 10, 0.6100682616233826, 0.01842699057514757 
390, , layer2.1.conv2, 10, 0.6122013926506042, 0.018372170032723567 
391, , layer3.1.conv2, 10, 0.34215018153190613, 0.027650324405256797 
392, , layer3.1.conv2, 10, 0.4637371897697449, 0.023376728843503437 
